camara,comision,nombre,bloque,cargo
senado,De Asuntos Constitucionales,"LÓPEZ, María Florencia",JUSTICIALISTA,Vocal
senado,De Asuntos Constitucionales,"BENSUSÁN, Daniel Pablo",JUSTICIALISTA,Vocal
senado,De Asuntos Constitucionales,"LÓPEZ, Cándida Cristina",JUSTICIALISTA,Vocal
senado,De Asuntos Constitucionales,"GIMÉNEZ NAVARRO, María Celeste",JUSTICIALISTA,Vocal
senado,De Ciencia y Tecnología,"HUALA, María Victoria",FRENTE PRO,Vocal
senado,De Ciencia y Tecnología,"BEDIA, Vilma Facunda",LA LIBERTAD AVANZA,Vocal
senado,De Ciencia y Tecnología,"ALMEIDA, Romina María",LA LIBERTAD AVANZA,Vocal
senado,De Ciencia y Tecnología,"OROZCO, María Emilia",LA LIBERTAD AVANZA,Vocal
senado,De Ciencia y Tecnología,"GUZMÁN CORAITA, Gonzalo",LA LIBERTAD AVANZA,Vocal
senado,De Ciencia y Tecnología,"ATAUCHE, Ezequiel",LA LIBERTAD AVANZA,Vocal
senado,De Ciencia y Tecnología,"SCHNEIDER, Silvana Lorena",UCR - UNIÓN CÍVICA RADICAL,Vocal
senado,De Ciencia y Tecnología,"FAMA, Flavio Sergio",UCR - UNIÓN CÍVICA RADICAL,Vocal
senado,De Ciencia y Tecnología,"JURI, Mariana",UCR - UNIÓN CÍVICA RADICAL,Vocal
senado,De Ciencia y Tecnología,"ROJAS DECUT, Sonia Elizabeth",FRENTE RENOVADOR DE LA CONCORDIA SOCIAL,Vocal
senado,De Ciencia y Tecnología,"ANDRADA, Guillermo Eduardo",CONVICCIÓN FEDERAL,Vocal
senado,De Ciencia y Tecnología,"DE PEDRO, Eduardo Enrique",JUSTICIALISTA,Vocal
senado,De Ciencia y Tecnología,"GIMÉNEZ NAVARRO, María Celeste",JUSTICIALISTA,Vocal
senado,De Ciencia y Tecnología,"GONZÁLEZ, María Teresa Margarita",JUSTICIALISTA,Vocal
senado,De Ciencia y Tecnología,"LINARES, Carlos Alberto",JUSTICIALISTA,Vocal
